,Lawyer Names,experience,field,feedback,gender,charge,avg_days_for_disposal,lang,practices_at,location,cd,isprobo
0,Anay Ahluwalia,20,"['Corporate ', ' Consumer Protection ', '  Labor ']",5.0,m,420.6850078605348,117.69593880898871,"['Hindi', 'Telugu']",Saini PLC,Hyderabad, Large Corporations,False
1,Arnav Dubey,29,"['Intellectual Property ', ' Criminal ', '  Tax ']",2.0,m,435.66306274876007,119.00039621571536,"['Tamil', 'Urdu', 'Kannada']",Sarna-Contractor,Delhi, Small Businesses,True
2,Lavanya Lalla,15,"['Human Rights ', '  Family ', ' Civil ']",5.0,f,236.79822958471968,93.85126197992682,"['Tamil', 'Gujarati', 'Kannada']",Gade-Cheema,Delhi, Large Corporations,False
3,Armaan Khosla,11,"['  Real Estate ', 'Constitutional ', ' Media  Entertainment ']",2.0,m,90.20295603134008,89.82727367885032,"['Punjabi', 'Tamil', 'Telugu']",Brahmbhatt-Konda,Kolkata, Large Corporations,False
4,Advik Chaudry,8,"['Human Rights ', ' Constitutional ', '  Human Rights ']",2.0,m,247.00166478482896,105.45989712362339,"['Malayalam', 'Odia', 'Urdu']",Barad PLC,Bangalore, Individuals,False
5,Urvi Bedi,29,"['Medical ', ' Immigration ', '  Constitutional ']",2.0,f,153.83056559317419,106.42197753340989,"['Hindi', 'Malayalam']",Bhatia,Bangalore, Small Businesses,False
6,Rania Bansal,21,"[' Media  Entertainment ', 'Labor ', '  Civil ']",4.0,f,181.03840474848087,77.91012403410878,"['Hindi', 'Malayalam', 'Bengali']",Devi,Hyderabad, Individuals,True
7,Urvi Gera,7,"[' Consumer Protection ', 'Labor ', '  Criminal ']",4.0,f,397.5204005768776,82.10167300294947,"['Hindi', 'Gujarati', 'Kannada']",Hari LLC,Kolkata, Small Businesses,False
8,Shamik Kamdar,26,"['  Immigration ', ' Media  Entertainment ', 'Real Estate ']",5.0,m,83.98718871164908,70.16478847975057,"['Bengali', 'Malayalam', 'Telugu']",Virk LLC,Hyderabad, Individuals,False
9,Ayesha Bala,19,"['Banking  Finance ', ' Environmental ', '  Civil ']",,f,422.41154786631597,,"['Punjabi', 'Telugu']",Wali,Chennai, Individuals,False
10,Jayesh Kapur,23,"['  Medical ', 'Immigration ', ' Immigration ']",5.0,m,242.45108862087608,99.99941825185336,"['Tamil', 'Urdu', 'Telugu']",Madan LLC,Bangalore, Large Corporations,False
11,Rohan Basu,11,"['Family ', ' Real Estate ', '  Media  Entertainment ']",4.0,m,318.2287689952678,69.75111543208091,"['Tamil', 'Telugu']",Chopra Inc,Kolkata, Large Corporations,True
12,Divit Kapoor,11,"['Environmental ', ' Banking  Finance ', '  Real Estate ']",1.0,m,90.34350405605555,83.17201642775761,"['Tamil', 'Malayalam']",Bora,Kolkata, Small Businesses,True
13,Vardaniya Mallick,24,"[' Intellectual Property ', '  Medical ', 'Labor ']",1.0,m,201.81158526077584,69.79119123627976,"['Odia', 'Urdu', 'Assamese']",Bhattacharyya,Hyderabad, Small Businesses,True
